W001 W002 W003 W004 W005 W006 W007 W008 W009 W010 W011 W012 W013 W014 W015 W016 W017 W018 W019 W020 W021 W022 W023
-71 -81 -83.0 -100.0 -100.0 -100.0 -79.0 -31 -100.0 -78.0 -100.0 -100.0 -89.0 -87.0 -100.0 -81.0 -78.0 -85.0 -84.0 -82.0 -76.0 -88.0 -73.0
-80 -73 -81.0 -100.0 -100.0 -100.0 -82.0 -26 -100.0 -88.0 -89.0 -84.0 -100.0 -89.0 -88.0 -90.0 -82.0 -93.0 -81.0 -79.0 -77.0 -100.0 -83.0
-72 -81 -80.0 -93.0 -91.0 -100.0 -85.0 -41 -100.0 -82.0 -88.0 -100.0 -100.0 -87.0 -100.0 -82.0 -82.0 -89.0 -81.0 -100.0 -78.0 -88.0 -84.0
-76 -83 -81.0 -100.0 -100.0 -100.0 -80.0 -39 -100.0 -78.0 -88.0 -81.0 -100.0 -78.0 -88.0 -78.0 -76.0 -85.0 -82.0 -87.0 -75.0 -91.0 -77.0
-69 -71 -81.0 -100.0 -100.0 -100.0 -80.0 -36 -100.0 -78.0 -100.0 -100.0 -100.0 -86.0 -88.0 -100.0 -77.0 -84.0 -82.0 -89.0 -71.0 -100.0 -64.0
-67 -65 -86.0 -89.0 -91.0 -100.0 -87.0 -34 -91.0 -87.0 -86.0 -100.0 -100.0 -79.0 -100.0 -83.0 -75.0 -92.0 -80.0 -100.0 -83.0 -80.0 -71.0
-74 -74 -83.0 -90.0 -90.0 -100.0 -81.0 -42 -93.0 -76.0 -100.0 -87.0 -86.0 -87.0 -93.0 -77.0 -81.0 -84.0 -75.0 -83.0 -79.0 -89.0 -71.0
-73 -72 -77.0 -100.0 -100.0 -100.0 -83.0 -34 -100.0 -82.0 -100.0 -100.0 -100.0 -89.0 -100.0 -87.0 -76.0 -82.0 -79.0 -83.0 -71.0 -88.0 -73.0
-71 -74 -81.0 -100.0 -90.0 -100.0 -78.0 -31 -100.0 -74.0 -100.0 -80.0 -85.0 -78.0 -89.0 -85.0 -79.0 -89.0 -72.0 -82.0 -69.0 -88.0 -79.0
-74 -73 -82.0 -89.0 -91.0 -100.0 -78.0 -33 -91.0 -77.0 -90.0 -80.0 -100.0 -100.0 -91.0 -80.0 -79.0 -80.0 -85.0 -100.0 -67.0 -87.0 -64.0
-69 -70 -79.0 -100.0 -100.0 -100.0 -88.0 -44 -100.0 -83.0 -88.0 -100.0 -89.0 -90.0 -100.0 -88.0 -83.0 -85.0 -82.0 -91.0 -76.0 -84.0 -78.0
-76 -72 -83.0 -100.0 -100.0 -100.0 -85.0 -32 -100.0 -81.0 -88.0 -100.0 -100.0 -79.0 -100.0 -88.0 -80.0 -78.0 -74.0 -100.0 -67.0 -80.0 -73.0
-73 -75 -79.0 -100.0 -90.0 -100.0 -86.0 -38 -100.0 -76.0 -100.0 -80.0 -89.0 -78.0 -90.0 -83.0 -83.0 -89.0 -73.0 -85.0 -81.0 -88.0 -79.0
-69 -75 -83.0 -100.0 -100.0 -100.0 -81.0 -31 -100.0 -80.0 -100.0 -100.0 -100.0 -84.0 -100.0 -84.0 -77.0 -86.0 -79.0 -100.0 -80.0 -100.0 -74.0
-73 -75 -79.0 -100.0 -90.0 -100.0 -86.0 -38 -100.0 -76.0 -100.0 -80.0 -89.0 -78.0 -90.0 -83.0 -83.0 -89.0 -73.0 -85.0 -81.0 -88.0 -79.0
-76 -77 -83.0 -100.0 -100.0 -100.0 -85.0 -41 -100.0 -74.0 -100.0 -100.0 -100.0 -100.0 -100.0 -80.0 -82.0 -89.0 -78.0 -100.0 -81.0 -100.0 -78.0
-74 -71 -81.0 -90.0 -90.0 -100.0 -87.0 -37 -93.0 -80.0 -100.0 -100.0 -88.0 -87.0 -93.0 -84.0 -77.0 -84.0 -82.0 -87.0 -80.0 -89.0 -71.0
-76 -70 -80.0 -100.0 -100.0 -100.0 -83.0 -27 -100.0 -81.0 -88.0 -74.0 -83.0 -82.0 -89.0 -80.0 -82.0 -86.0 -80.0 -86.0 -75.0 -89.0 -80.0
-73 -72 -85.0 -100.0 -100.0 -100.0 -88.0 -40 -100.0 -88.0 -100.0 -84.0 -100.0 -88.0 -100.0 -86.0 -80.0 -88.0 -82.0 -100.0 -75.0 -85.0 -80.0
-73 -74 -82.0 -100.0 -100.0 -100.0 -82.0 -36 -100.0 -77.0 -90.0 -81.0 -100.0 -80.0 -100.0 -82.0 -81.0 -100.0 -74.0 -87.0 -86.0 -100.0 -78.0
