W001 W002 W003 W004 W005 W006 W007 W008 W009 W010 W011 W012 W013 W014 W015 W016 W017 W018 W019 W020 W021 W022 W023
-87.0 -44 -77 -100.0 -80.0 -100.0 -88.0 -71 -78 -81.0 -100.0 -86.0 -100.0 -100.0 -100.0 -100.0 -86.0 -89.0 -100.0 -100.0 -90.0 -100.0 -81.0
-73.0 -50 -71 -89.0 -79.0 -100.0 -100.0 -43 -81 -85.0 -100.0 -81.0 -100.0 -100.0 -100.0 -100.0 -88.0 -87.0 -100.0 -100.0 -90.0 -91.0 -88.0
-78.0 -51 -77 -100.0 -90.0 -100.0 -100.0 -48 -80 -89.0 -100.0 -80.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -91.0 -100.0 -88.0
-74.0 -55 -77 -100.0 -82.0 -89.0 -89.0 -60 -82 -83.0 -100.0 -82.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -87.0 -100.0 -100.0
-74.0 -55 -69 -91.0 -82.0 -100.0 -91.0 -53 -71 -86.0 -100.0 -78.0 -100.0 -100.0 -100.0 -91.0 -91.0 -90.0 -89.0 -100.0 -89.0 -100.0 -89.0
-73.0 -50 -71 -89.0 -79.0 -100.0 -100.0 -43 -81 -85.0 -100.0 -81.0 -100.0 -100.0 -100.0 -100.0 -88.0 -87.0 -100.0 -100.0 -90.0 -91.0 -88.0
-85.0 -54 -76 -100.0 -83.0 -100.0 -100.0 -58 -79 -88.0 -100.0 -81.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -91.0 -88.0 -100.0
-87.0 -44 -77 -100.0 -80.0 -100.0 -88.0 -71 -78 -81.0 -100.0 -86.0 -100.0 -100.0 -100.0 -100.0 -86.0 -89.0 -100.0 -100.0 -90.0 -100.0 -81.0
-73.0 -41 -69 -100.0 -77.0 -100.0 -100.0 -55 -72 -90.0 -100.0 -100.0 -100.0 -100.0 -100.0 -91.0 -100.0 -100.0 -100.0 -100.0 -89.0 -89.0 -87.0
-80.0 -52 -83 -100.0 -86.0 -100.0 -89.0 -57 -86 -81.0 -100.0 -84.0 -100.0 -100.0 -100.0 -100.0 -100.0 -88.0 -100.0 -100.0 -91.0 -90.0 -100.0
-79.0 -43 -73 -100.0 -90.0 -100.0 -88.0 -64 -78 -89.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -89.0 -89.0 -87.0
-84.0 -47 -77 -100.0 -100.0 -100.0 -89.0 -60 -82 -87.0 -100.0 -72.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -91.0 -100.0 -86.0
-81.0 -49 -79 -100.0 -100.0 -100.0 -89.0 -57 -82 -87.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -91.0 -100.0 -86.0
-82.0 -46 -78 -100.0 -85.0 -100.0 -100.0 -57 -75 -81.0 -100.0 -75.0 -100.0 -100.0 -100.0 -100.0 -86.0 -100.0 -100.0 -100.0 -91.0 -100.0 -81.0
-80.0 -50 -69 -100.0 -84.0 -100.0 -91.0 -52 -70 -90.0 -100.0 -77.0 -100.0 -100.0 -100.0 -100.0 -89.0 -88.0 -100.0 -100.0 -85.0 -100.0 -89.0
-88.0 -50 -71 -100.0 -83.0 -100.0 -100.0 -57 -90 -89.0 -100.0 -81.0 -100.0 -100.0 -100.0 -100.0 -90.0 -100.0 -100.0 -100.0 -91.0 -88.0 -88.0
-83.0 -45 -73 -100.0 -82.0 -89.0 -100.0 -48 -88 -88.0 -100.0 -81.0 -100.0 -100.0 -100.0 -100.0 -90.0 -100.0 -100.0 -100.0 -87.0 -100.0 -100.0
-83.0 -55 -79 -100.0 -90.0 -100.0 -89.0 -49 -85 -82.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -90.0 -100.0 -100.0 -89.0 -89.0 -87.0
-88.0 -44 -78 -100.0 -86.0 -100.0 -89.0 -55 -77 -91.0 -100.0 -81.0 -100.0 -100.0 -100.0 -100.0 -90.0 -87.0 -100.0 -100.0 -89.0 -100.0 -89.0
-82.0 -51 -79 -100.0 -87.0 -100.0 -100.0 -52 -81 -86.0 -100.0 -81.0 -100.0 -100.0 -100.0 -100.0 -90.0 -100.0 -100.0 -100.0 -89.0 -88.0 -88.0
-80.0 -47 -70 -100.0 -84.0 -100.0 -100.0 -52 -73 -89.0 -100.0 -74.0 -100.0 -100.0 -100.0 -100.0 -89.0 -100.0 -100.0 -100.0 -100.0 -100.0 -90.0
