W001 W002 W003 W004 W005 W006 W007 W008 W009 W010 W011 W012 W013 W014 W015 W016 W017 W018 W019 W020 W021 W022 W023
-81.0 -73 -73 -100.0 -90.0 -100.0 -83.0 -39 -90.0 -83 -100.0 -81.0 -100.0 -88.0 -88.0 -85.0 -85.0 -88.0 -78.0 -87.0 -71 -100.0 -75.0
-82.0 -59 -78 -90.0 -88.0 -100.0 -84.0 -57 -88.0 -78 -100.0 -81.0 -100.0 -88.0 -100.0 -80.0 -80.0 -85.0 -100.0 -100.0 -72 -100.0 -77.0
-79.0 -65 -78 -90.0 -88.0 -100.0 -85.0 -45 -87.0 -82 -100.0 -100.0 -100.0 -88.0 -100.0 -85.0 -85.0 -90.0 -75.0 -100.0 -73 -100.0 -78.0
-81.0 -61 -76 -100.0 -100.0 -100.0 -87.0 -47 -100.0 -85 -100.0 -76.0 -100.0 -100.0 -100.0 -78.0 -80.0 -86.0 -71.0 -100.0 -71 -88.0 -75.0
-76.0 -58 -81 -89.0 -100.0 -100.0 -79.0 -49 -100.0 -82 -100.0 -81.0 -87.0 -87.0 -100.0 -83.0 -80.0 -81.0 -100.0 -90.0 -80 -100.0 -83.0
-78.0 -56 -82 -89.0 -84.0 -100.0 -80.0 -41 -100.0 -78 -88.0 -83.0 -100.0 -100.0 -100.0 -88.0 -84.0 -100.0 -100.0 -91.0 -75 -100.0 -84.0
-76.0 -58 -81 -89.0 -100.0 -100.0 -79.0 -49 -100.0 -82 -100.0 -81.0 -87.0 -87.0 -100.0 -83.0 -80.0 -81.0 -100.0 -90.0 -80 -100.0 -83.0
-75.0 -57 -79 -88.0 -89.0 -100.0 -79.0 -45 -88.0 -68 -100.0 -83.0 -89.0 -86.0 -100.0 -82.0 -79.0 -78.0 -79.0 -91.0 -73 -83.0 -74.0
-75.0 -65 -80 -88.0 -89.0 -100.0 -79.0 -36 -88.0 -76 -100.0 -76.0 -84.0 -86.0 -100.0 -82.0 -79.0 -78.0 -79.0 -100.0 -75 -83.0 -74.0
-79.0 -55 -74 -90.0 -85.0 -100.0 -85.0 -45 -87.0 -74 -100.0 -80.0 -87.0 -88.0 -100.0 -84.0 -85.0 -90.0 -75.0 -100.0 -75 -100.0 -78.0
-75.0 -57 -79 -88.0 -89.0 -100.0 -79.0 -45 -88.0 -68 -100.0 -83.0 -89.0 -86.0 -100.0 -82.0 -79.0 -78.0 -79.0 -91.0 -73 -83.0 -74.0
-78.0 -56 -82 -89.0 -84.0 -100.0 -80.0 -41 -100.0 -78 -88.0 -83.0 -100.0 -100.0 -100.0 -88.0 -84.0 -100.0 -100.0 -91.0 -75 -100.0 -84.0
-81.0 -67 -77 -100.0 -100.0 -100.0 -78.0 -42 -100.0 -73 -87.0 -79.0 -100.0 -84.0 -100.0 -85.0 -77.0 -82.0 -71.0 -100.0 -71 -88.0 -83.0
-82.0 -59 -74 -88.0 -100.0 -100.0 -79.0 -49 -90.0 -70 -88.0 -80.0 -84.0 -89.0 -86.0 -90.0 -80.0 -81.0 -73.0 -89.0 -79 -86.0 -77.0
-86.0 -67 -82 -100.0 -100.0 -100.0 -80.0 -47 -88.0 -74 -90.0 -81.0 -100.0 -88.0 -86.0 -86.0 -81.0 -80.0 -78.0 -87.0 -79 -100.0 -79.0
-86.0 -59 -83 -100.0 -100.0 -100.0 -84.0 -46 -88.0 -72 -100.0 -100.0 -100.0 -100.0 -86.0 -83.0 -80.0 -78.0 -80.0 -100.0 -73 -100.0 -74.0
-75.0 -71 -78 -88.0 -89.0 -100.0 -86.0 -51 -87.0 -83 -100.0 -83.0 -89.0 -86.0 -100.0 -89.0 -84.0 -89.0 -79.0 -91.0 -73 -83.0 -76.0
-80.0 -66 -77 -100.0 -88.0 -100.0 -88.0 -43 -91.0 -73 -100.0 -81.0 -88.0 -88.0 -100.0 -81.0 -83.0 -83.0 -80.0 -100.0 -70 -100.0 -74.0
-80.0 -66 -77 -100.0 -88.0 -100.0 -88.0 -43 -91.0 -73 -100.0 -81.0 -88.0 -88.0 -100.0 -81.0 -83.0 -83.0 -80.0 -100.0 -70 -100.0 -74.0
-82.0 -62 -81 -90.0 -88.0 -100.0 -88.0 -50 -100.0 -83 -100.0 -81.0 -100.0 -100.0 -100.0 -80.0 -80.0 -91.0 -100.0 -100.0 -78 -100.0 -81.0
