W001 W002 W003 W004 W005 W006 W007 W008 W009 W010 W011 W012 W013 W014 W015 W016 W017 W018 W019 W020 W021 W022 W023
-69 -68 -82.0 -100.0 -100.0 -100.0 -86.0 -35 -100.0 -85.0 -100.0 -100.0 -100.0 -100.0 -91.0 -86.0 -82.0 -91.0 -83.0 -100.0 -78.0 -91.0 -64.0
-71 -76 -80.0 -100.0 -88.0 -100.0 -85.0 -28 -100.0 -76.0 -100.0 -83.0 -100.0 -85.0 -87.0 -81.0 -78.0 -88.0 -79.0 -83.0 -81.0 -84.0 -80.0
-84 -71 -85.0 -100.0 -100.0 -100.0 -82.0 -26 -100.0 -80.0 -100.0 -100.0 -100.0 -100.0 -88.0 -82.0 -78.0 -85.0 -89.0 -83.0 -73.0 -100.0 -82.0
-76 -74 -73.0 -100.0 -100.0 -100.0 -85.0 -28 -100.0 -77.0 -86.0 -81.0 -100.0 -80.0 -100.0 -80.0 -81.0 -84.0 -83.0 -87.0 -69.0 -100.0 -73.0
-74 -73 -83.0 -100.0 -100.0 -100.0 -86.0 -37 -100.0 -82.0 -86.0 -100.0 -100.0 -79.0 -100.0 -83.0 -75.0 -87.0 -85.0 -100.0 -74.0 -80.0 -71.0
-79 -74 -81.0 -100.0 -90.0 -100.0 -87.0 -33 -100.0 -88.0 -86.0 -80.0 -85.0 -78.0 -89.0 -82.0 -80.0 -89.0 -72.0 -82.0 -71.0 -88.0 -74.0
-74 -73 -82.0 -89.0 -91.0 -100.0 -78.0 -33 -91.0 -77.0 -90.0 -80.0 -100.0 -100.0 -91.0 -80.0 -79.0 -80.0 -85.0 -100.0 -67.0 -87.0 -64.0
-74 -79 -76.0 -90.0 -90.0 -100.0 -79.0 -33 -93.0 -74.0 -100.0 -87.0 -86.0 -83.0 -93.0 -77.0 -81.0 -84.0 -75.0 -87.0 -68.0 -89.0 -71.0
-74 -74 -83.0 -90.0 -90.0 -100.0 -81.0 -42 -93.0 -76.0 -100.0 -87.0 -86.0 -87.0 -93.0 -77.0 -81.0 -84.0 -75.0 -83.0 -79.0 -89.0 -71.0
-71 -69 -83.0 -100.0 -100.0 -100.0 -87.0 -32 -100.0 -81.0 -100.0 -100.0 -89.0 -87.0 -100.0 -84.0 -81.0 -85.0 -84.0 -88.0 -79.0 -100.0 -77.0
-74 -80 -80.0 -100.0 -88.0 -100.0 -81.0 -30 -100.0 -82.0 -100.0 -83.0 -88.0 -87.0 -87.0 -85.0 -74.0 -84.0 -80.0 -87.0 -73.0 -84.0 -71.0
-73 -73 -79.0 -100.0 -90.0 -100.0 -81.0 -29 -100.0 -82.0 -100.0 -80.0 -100.0 -89.0 -90.0 -82.0 -84.0 -91.0 -85.0 -88.0 -77.0 -88.0 -81.0
-75 -77 -82.0 -93.0 -91.0 -100.0 -84.0 -25 -100.0 -81.0 -89.0 -100.0 -100.0 -87.0 -100.0 -82.0 -89.0 -89.0 -81.0 -86.0 -71.0 -88.0 -75.0
-74 -73 -80.0 -100.0 -100.0 -100.0 -79.0 -27 -100.0 -77.0 -100.0 -100.0 -100.0 -100.0 -90.0 -86.0 -82.0 -91.0 -82.0 -100.0 -74.0 -91.0 -100.0
-69 -71 -82.0 -100.0 -100.0 -100.0 -83.0 -41 -100.0 -80.0 -90.0 -80.0 -100.0 -100.0 -91.0 -80.0 -82.0 -91.0 -79.0 -100.0 -87.0 -87.0 -64.0
-74 -73 -83.0 -100.0 -100.0 -100.0 -86.0 -37 -100.0 -82.0 -86.0 -100.0 -100.0 -79.0 -100.0 -83.0 -75.0 -87.0 -85.0 -100.0 -74.0 -80.0 -71.0
-70 -71 -85.0 -100.0 -100.0 -100.0 -88.0 -32 -100.0 -80.0 -100.0 -84.0 -100.0 -88.0 -100.0 -83.0 -79.0 -88.0 -91.0 -100.0 -76.0 -85.0 -86.0
-78 -75 -82.0 -100.0 -88.0 -100.0 -80.0 -40 -100.0 -76.0 -87.0 -100.0 -100.0 -100.0 -100.0 -85.0 -83.0 -84.0 -79.0 -86.0 -71.0 -90.0 -83.0
-69 -71 -83.0 -100.0 -100.0 -100.0 -79.0 -23 -100.0 -79.0 -100.0 -100.0 -100.0 -84.0 -100.0 -80.0 -74.0 -86.0 -79.0 -100.0 -74.0 -100.0 -78.0
-77 -50 -76.0 -100.0 -100.0 -100.0 -100.0 -63 -78.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0
