W001 W002 W003 W004 W005 W006 W007 W008 W009 W010 W011 W012 W013 W014 W015 W016 W017 W018 W019 W020 W021 W022 W023
-81.0 -60 -77 -100.0 -100.0 -100.0 -83.0 -36 -100.0 -75 -87.0 -85.0 -100.0 -88.0 -100.0 -80.0 -88.0 -80.0 -71.0 -100.0 -69 -100.0 -81.0
-79.0 -58 -75 -89.0 -84.0 -100.0 -81.0 -42 -85.0 -69 -88.0 -85.0 -100.0 -88.0 -90.0 -89.0 -77.0 -84.0 -78.0 -85.0 -70 -93.0 -70.0
-86.0 -59 -83 -100.0 -100.0 -100.0 -84.0 -46 -88.0 -72 -100.0 -100.0 -100.0 -100.0 -86.0 -83.0 -80.0 -78.0 -80.0 -100.0 -73 -100.0 -74.0
-84.0 -61 -77 -100.0 -100.0 -100.0 -86.0 -39 -91.0 -80 -100.0 -79.0 -88.0 -88.0 -100.0 -85.0 -84.0 -83.0 -77.0 -100.0 -70 -100.0 -74.0
-81.0 -53 -79 -88.0 -85.0 -100.0 -86.0 -40 -88.0 -77 -88.0 -82.0 -84.0 -88.0 -86.0 -82.0 -81.0 -80.0 -81.0 -89.0 -74 -86.0 -74.0
-75.0 -62 -82 -88.0 -89.0 -100.0 -79.0 -52 -88.0 -75 -100.0 -83.0 -89.0 -86.0 -100.0 -82.0 -84.0 -86.0 -79.0 -91.0 -73 -83.0 -76.0
-74.0 -60 -79 -100.0 -100.0 -100.0 -79.0 -46 -90.0 -79 -88.0 -81.0 -84.0 -87.0 -86.0 -90.0 -81.0 -81.0 -78.0 -90.0 -79 -86.0 -81.0
-78.0 -56 -82 -89.0 -84.0 -100.0 -80.0 -41 -100.0 -78 -88.0 -83.0 -100.0 -100.0 -100.0 -88.0 -84.0 -100.0 -100.0 -91.0 -75 -100.0 -84.0
-79.0 -54 -77 -100.0 -100.0 -100.0 -82.0 -41 -85.0 -73 -100.0 -82.0 -100.0 -91.0 -100.0 -90.0 -80.0 -87.0 -100.0 -100.0 -72 -100.0 -79.0
-84.0 -67 -84 -89.0 -100.0 -100.0 -100.0 -44 -100.0 -74 -100.0 -100.0 -87.0 -100.0 -100.0 -83.0 -81.0 -83.0 -100.0 -100.0 -75 -100.0 -73.0
-82.0 -61 -74 -88.0 -100.0 -100.0 -75.0 -50 -90.0 -72 -88.0 -80.0 -84.0 -89.0 -86.0 -90.0 -80.0 -80.0 -73.0 -89.0 -70 -86.0 -77.0
-79.0 -59 -77 -100.0 -100.0 -100.0 -80.0 -41 -100.0 -75 -100.0 -84.0 -88.0 -90.0 -100.0 -82.0 -84.0 -84.0 -77.0 -100.0 -71 -100.0 -74.0
-78.0 -66 -75 -100.0 -84.0 -100.0 -80.0 -40 -100.0 -74 -100.0 -82.0 -85.0 -100.0 -92.0 -88.0 -76.0 -85.0 -76.0 -89.0 -71 -86.0 -75.0
-76.0 -63 -76 -85.0 -88.0 -100.0 -83.0 -44 -91.0 -89 -100.0 -74.0 -100.0 -87.0 -100.0 -81.0 -78.0 -83.0 -80.0 -100.0 -73 -100.0 -77.0
-86.0 -58 -77 -100.0 -100.0 -100.0 -81.0 -39 -85.0 -72 -100.0 -82.0 -100.0 -91.0 -100.0 -90.0 -80.0 -80.0 -77.0 -100.0 -72 -100.0 -79.0
-77.0 -59 -77 -100.0 -100.0 -100.0 -83.0 -37 -100.0 -75 -87.0 -85.0 -100.0 -88.0 -90.0 -89.0 -88.0 -80.0 -71.0 -100.0 -78 -92.0 -81.0
-79.0 -61 -80 -89.0 -84.0 -100.0 -81.0 -57 -85.0 -88 -88.0 -83.0 -100.0 -100.0 -100.0 -100.0 -77.0 -84.0 -78.0 -91.0 -73 -93.0 -70.0
-79.0 -69 -80 -89.0 -79.0 -100.0 -81.0 -45 -85.0 -87 -88.0 -100.0 -100.0 -100.0 -90.0 -89.0 -77.0 -84.0 -78.0 -85.0 -76 -93.0 -70.0
-76.0 -58 -81 -89.0 -100.0 -100.0 -79.0 -49 -100.0 -82 -100.0 -81.0 -87.0 -87.0 -100.0 -83.0 -80.0 -81.0 -100.0 -90.0 -80 -100.0 -83.0
-79.0 -56 -81 -89.0 -100.0 -100.0 -100.0 -50 -100.0 -69 -100.0 -100.0 -87.0 -100.0 -100.0 -88.0 -86.0 -100.0 -100.0 -100.0 -77 -100.0 -76.0
