W001 W002 W003 W004 W005 W006 W007 W008 W009 W010 W011 W012 W013 W014 W015 W016 W017 W018 W019 W020 W021 W022 W023
-90.0 -58 -80 -88.0 -77 -100.0 -100.0 -70 -71 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0
-89.0 -52 -77 -88.0 -85 -86.0 -100.0 -73 -81 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0
-89.0 -52 -77 -88.0 -85 -86.0 -100.0 -73 -81 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0
-88.0 -55 -77 -89.0 -73 -84.0 -100.0 -75 -73 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0
-82.0 -51 -76 -100.0 -80 -86.0 -100.0 -66 -71 -91.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0
-89.0 -60 -76 -88.0 -72 -88.0 -100.0 -68 -72 -91.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0
-86.0 -58 -81 -88.0 -82 -89.0 -100.0 -71 -79 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0
-84.0 -53 -76 -88.0 -78 -88.0 -100.0 -71 -67 -92.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0
-81.0 -53 -75 -88.0 -79 -86.0 -100.0 -58 -79 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0
-86.0 -58 -81 -88.0 -82 -89.0 -100.0 -71 -79 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0
-87.0 -64 -80 -88.0 -74 -89.0 -100.0 -68 -76 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0
-88.0 -57 -77 -91.0 -77 -100.0 -100.0 -60 -73 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0
-89.0 -61 -76 -88.0 -80 -88.0 -100.0 -70 -81 -91.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0
-84.0 -57 -81 -89.0 -82 -84.0 -100.0 -74 -78 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0
-84.0 -58 -81 -88.0 -86 -89.0 -100.0 -65 -80 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0
-100.0 -53 -78 -88.0 -75 -100.0 -100.0 -69 -71 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0
-86.0 -59 -77 -88.0 -74 -100.0 -100.0 -68 -75 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0
-89.0 -58 -78 -91.0 -83 -91.0 -100.0 -73 -88 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0
-87.0 -58 -75 -89.0 -79 -86.0 -100.0 -68 -81 -91.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0
-89.0 -56 -77 -88.0 -76 -88.0 -100.0 -72 -73 -91.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0
