W001 W002 W003 W004 W005 W006 W007 W008 W009 W010 W011 W012 W013 W014 W015 W016 W017 W018 W019 W020 W021 W022 W023
-78 -70 -100.0 -100.0 -100.0 -100.0 -83.0 -29 -100.0 -84.0 -100.0 -100.0 -100.0 -84.0 -100.0 -84.0 -77.0 -100.0 -79.0 -100.0 -72.0 -100.0 -73.0
-74 -80 -80.0 -100.0 -88.0 -100.0 -81.0 -30 -100.0 -82.0 -100.0 -83.0 -88.0 -87.0 -87.0 -85.0 -74.0 -84.0 -80.0 -87.0 -73.0 -84.0 -71.0
-71 -74 -81.0 -100.0 -90.0 -100.0 -78.0 -31 -100.0 -74.0 -100.0 -80.0 -85.0 -78.0 -89.0 -85.0 -79.0 -89.0 -72.0 -82.0 -69.0 -88.0 -79.0
-73 -82 -80.0 -100.0 -100.0 -100.0 -100.0 -25 -100.0 -85.0 -90.0 -100.0 -90.0 -100.0 -100.0 -100.0 -71.0 -79.0 -100.0 -100.0 -73.0 -85.0 -78.0
-76 -70 -80.0 -100.0 -100.0 -100.0 -85.0 -29 -100.0 -79.0 -85.0 -85.0 -88.0 -88.0 -100.0 -78.0 -81.0 -80.0 -80.0 -87.0 -72.0 -88.0 -77.0
-78 -73 -81.0 -100.0 -100.0 -100.0 -82.0 -25 -100.0 -76.0 -88.0 -100.0 -100.0 -100.0 -90.0 -88.0 -79.0 -82.0 -82.0 -100.0 -72.0 -91.0 -75.0
-76 -77 -83.0 -100.0 -100.0 -100.0 -85.0 -41 -100.0 -74.0 -100.0 -100.0 -100.0 -100.0 -100.0 -80.0 -82.0 -89.0 -78.0 -100.0 -81.0 -100.0 -78.0
-73 -75 -79.0 -100.0 -90.0 -100.0 -86.0 -38 -100.0 -76.0 -100.0 -80.0 -89.0 -78.0 -90.0 -83.0 -83.0 -89.0 -73.0 -85.0 -81.0 -88.0 -79.0
-76 -75 -88.0 -89.0 -100.0 -100.0 -88.0 -37 -100.0 -84.0 -100.0 -88.0 -100.0 -81.0 -100.0 -82.0 -79.0 -86.0 -77.0 -88.0 -74.0 -100.0 -81.0
-70 -68 -90.0 -100.0 -100.0 -100.0 -83.0 -32 -100.0 -86.0 -100.0 -100.0 -100.0 -100.0 -90.0 -86.0 -79.0 -91.0 -82.0 -100.0 -71.0 -91.0 -100.0
-71 -68 -87.0 -100.0 -100.0 -100.0 -91.0 -30 -100.0 -85.0 -86.0 -100.0 -85.0 -78.0 -91.0 -82.0 -79.0 -80.0 -84.0 -82.0 -73.0 -87.0 -74.0
-73 -74 -79.0 -100.0 -90.0 -100.0 -81.0 -37 -100.0 -85.0 -100.0 -80.0 -89.0 -89.0 -90.0 -82.0 -74.0 -91.0 -85.0 -88.0 -81.0 -88.0 -79.0
-76 -72 -83.0 -100.0 -100.0 -100.0 -85.0 -32 -100.0 -81.0 -88.0 -100.0 -100.0 -79.0 -100.0 -88.0 -80.0 -78.0 -74.0 -100.0 -67.0 -80.0 -73.0
-73 -74 -79.0 -100.0 -90.0 -100.0 -81.0 -37 -100.0 -85.0 -100.0 -80.0 -89.0 -89.0 -90.0 -82.0 -74.0 -91.0 -85.0 -88.0 -81.0 -88.0 -79.0
-74 -71 -81.0 -90.0 -90.0 -100.0 -87.0 -37 -93.0 -80.0 -100.0 -100.0 -88.0 -87.0 -93.0 -84.0 -77.0 -84.0 -82.0 -87.0 -80.0 -89.0 -71.0
-69 -66 -83.0 -100.0 -100.0 -100.0 -87.0 -27 -100.0 -82.0 -100.0 -100.0 -89.0 -87.0 -100.0 -84.0 -89.0 -85.0 -84.0 -88.0 -76.0 -100.0 -77.0
-77 -50 -76.0 -100.0 -100.0 -100.0 -100.0 -63 -78.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0
-69 -71 -82.0 -100.0 -100.0 -100.0 -83.0 -41 -100.0 -80.0 -90.0 -80.0 -100.0 -100.0 -91.0 -80.0 -82.0 -91.0 -79.0 -100.0 -87.0 -87.0 -64.0
-75 -77 -82.0 -93.0 -91.0 -100.0 -84.0 -25 -100.0 -81.0 -89.0 -100.0 -100.0 -87.0 -100.0 -82.0 -89.0 -89.0 -81.0 -86.0 -71.0 -88.0 -75.0
-81 -73 -100.0 -100.0 -100.0 -100.0 -83.0 -32 -100.0 -78.0 -100.0 -100.0 -100.0 -100.0 -100.0 -84.0 -77.0 -100.0 -79.0 -100.0 -74.0 -100.0 -73.0
