W001 W002 W003 W004 W005 W006 W007 W008 W009 W010 W011 W012 W013 W014 W015 W016 W017 W018 W019 W020 W021 W022 W023
-82.0 -61 -74 -88.0 -100.0 -100.0 -75.0 -50 -90.0 -72 -88.0 -80.0 -84.0 -89.0 -86.0 -90.0 -80.0 -80.0 -73.0 -89.0 -70 -86.0 -77.0
-79.0 -58 -77 -100.0 -100.0 -100.0 -84.0 -40 -85.0 -78 -100.0 -81.0 -100.0 -88.0 -100.0 -90.0 -80.0 -85.0 -100.0 -100.0 -79 -100.0 -79.0
-75.0 -62 -82 -88.0 -89.0 -100.0 -79.0 -52 -88.0 -75 -100.0 -83.0 -89.0 -86.0 -100.0 -82.0 -84.0 -86.0 -79.0 -91.0 -73 -83.0 -76.0
-83.0 -60 -78 -90.0 -88.0 -100.0 -85.0 -41 -87.0 -76 -100.0 -82.0 -100.0 -88.0 -100.0 -85.0 -84.0 -90.0 -76.0 -100.0 -76 -100.0 -87.0
-88.0 -67 -81 -90.0 -88.0 -100.0 -86.0 -54 -100.0 -88 -100.0 -81.0 -100.0 -100.0 -100.0 -100.0 -81.0 -88.0 -75.0 -100.0 -79 -100.0 -81.0
-86.0 -63 -83 -100.0 -100.0 -100.0 -82.0 -42 -88.0 -71 -90.0 -75.0 -100.0 -100.0 -86.0 -80.0 -100.0 -80.0 -80.0 -100.0 -84 -100.0 -77.0
-84.0 -79 -80 -100.0 -100.0 -100.0 -77.0 -40 -100.0 -75 -84.0 -100.0 -100.0 -100.0 -100.0 -82.0 -79.0 -88.0 -78.0 -100.0 -71 -84.0 -100.0
-78.0 -61 -78 -100.0 -90.0 -100.0 -86.0 -47 -100.0 -82 -100.0 -82.0 -85.0 -91.0 -92.0 -88.0 -83.0 -85.0 -78.0 -89.0 -76 -86.0 -76.0
-81.0 -61 -75 -85.0 -88.0 -100.0 -79.0 -51 -87.0 -70 -100.0 -74.0 -100.0 -87.0 -100.0 -81.0 -78.0 -74.0 -78.0 -100.0 -76 -100.0 -77.0
-78.0 -57 -78 -100.0 -100.0 -100.0 -85.0 -32 -87.0 -70 -100.0 -83.0 -87.0 -100.0 -100.0 -89.0 -82.0 -83.0 -73.0 -91.0 -83 -100.0 -76.0
-81.0 -60 -77 -100.0 -100.0 -100.0 -83.0 -36 -100.0 -75 -87.0 -85.0 -100.0 -88.0 -100.0 -80.0 -88.0 -80.0 -71.0 -100.0 -69 -100.0 -81.0
-84.0 -79 -80 -100.0 -100.0 -100.0 -77.0 -40 -100.0 -75 -84.0 -100.0 -100.0 -100.0 -100.0 -82.0 -79.0 -88.0 -78.0 -100.0 -71 -84.0 -100.0
-89.0 -57 -73 -100.0 -90.0 -100.0 -80.0 -37 -90.0 -81 -100.0 -81.0 -100.0 -100.0 -88.0 -85.0 -85.0 -88.0 -82.0 -100.0 -80 -86.0 -76.0
-71.0 -57 -86 -85.0 -90.0 -100.0 -80.0 -37 -100.0 -83 -100.0 -80.0 -87.0 -91.0 -92.0 -100.0 -83.0 -79.0 -78.0 -89.0 -76 -86.0 -85.0
-75.0 -57 -79 -88.0 -89.0 -100.0 -79.0 -45 -88.0 -68 -100.0 -83.0 -89.0 -86.0 -100.0 -82.0 -79.0 -78.0 -79.0 -91.0 -73 -83.0 -74.0
-77.0 -58 -77 -100.0 -100.0 -100.0 -81.0 -37 -85.0 -78 -100.0 -85.0 -100.0 -88.0 -90.0 -89.0 -88.0 -84.0 -78.0 -100.0 -81 -93.0 -81.0
-89.0 -57 -76 -100.0 -100.0 -100.0 -80.0 -39 -100.0 -76 -100.0 -76.0 -100.0 -100.0 -100.0 -85.0 -78.0 -85.0 -71.0 -100.0 -77 -88.0 -76.0
-84.0 -61 -77 -100.0 -100.0 -100.0 -86.0 -39 -91.0 -80 -100.0 -79.0 -88.0 -88.0 -100.0 -85.0 -84.0 -83.0 -77.0 -100.0 -70 -100.0 -74.0
-78.0 -57 -78 -100.0 -100.0 -100.0 -85.0 -32 -87.0 -70 -100.0 -83.0 -87.0 -100.0 -100.0 -89.0 -82.0 -83.0 -73.0 -91.0 -83 -100.0 -76.0
-75.0 -62 -82 -88.0 -89.0 -100.0 -79.0 -52 -88.0 -75 -100.0 -83.0 -89.0 -86.0 -100.0 -82.0 -84.0 -86.0 -79.0 -91.0 -73 -83.0 -76.0
