W001 W002 W003 W004 W005 W006 W007 W008 W009 W010 W011 W012 W013 W014 W015 W016 W017 W018 W019 W020 W021 W022 W023
-75.0 -62 -87 -89.0 -89.0 -100.0 -81.0 -39 -88.0 -79 -100.0 -79.0 -84.0 -91.0 -100.0 -82.0 -81.0 -87.0 -80.0 -89.0 -74 -100.0 -74.0
-78.0 -64 -78 -88.0 -100.0 -100.0 -84.0 -40 -87.0 -82 -100.0 -83.0 -87.0 -86.0 -100.0 -89.0 -84.0 -83.0 -79.0 -91.0 -78 -83.0 -76.0
-79.0 -56 -81 -89.0 -100.0 -100.0 -100.0 -50 -100.0 -69 -100.0 -100.0 -87.0 -100.0 -100.0 -88.0 -86.0 -100.0 -100.0 -100.0 -77 -100.0 -76.0
-86.0 -63 -82 -100.0 -90.0 -100.0 -82.0 -51 -100.0 -70 -90.0 -81.0 -100.0 -88.0 -100.0 -86.0 -81.0 -81.0 -78.0 -87.0 -80 -100.0 -79.0
-80.0 -58 -78 -100.0 -100.0 -100.0 -82.0 -39 -100.0 -84 -100.0 -82.0 -100.0 -91.0 -100.0 -83.0 -80.0 -86.0 -79.0 -100.0 -73 -100.0 -74.0
-86.0 -62 -83 -100.0 -100.0 -100.0 -79.0 -43 -88.0 -77 -100.0 -75.0 -100.0 -100.0 -86.0 -83.0 -80.0 -78.0 -80.0 -100.0 -73 -100.0 -74.0
-81.0 -59 -73 -100.0 -90.0 -100.0 -80.0 -41 -90.0 -81 -100.0 -81.0 -100.0 -100.0 -88.0 -85.0 -85.0 -88.0 -78.0 -100.0 -76 -100.0 -76.0
-83.0 -64 -77 -85.0 -88.0 -100.0 -85.0 -35 -87.0 -80 -100.0 -82.0 -100.0 -88.0 -100.0 -88.0 -78.0 -80.0 -79.0 -100.0 -80 -100.0 -77.0
-80.0 -57 -76 -85.0 -88.0 -100.0 -81.0 -37 -91.0 -85 -100.0 -74.0 -88.0 -87.0 -100.0 -88.0 -88.0 -78.0 -80.0 -100.0 -83 -100.0 -76.0
-88.0 -61 -76 -100.0 -100.0 -100.0 -80.0 -43 -100.0 -73 -100.0 -76.0 -100.0 -100.0 -100.0 -78.0 -80.0 -76.0 -71.0 -100.0 -71 -88.0 -72.0
-81.0 -73 -73 -100.0 -90.0 -100.0 -83.0 -39 -90.0 -83 -100.0 -81.0 -100.0 -88.0 -88.0 -85.0 -85.0 -88.0 -78.0 -87.0 -71 -100.0 -75.0
-81.0 -57 -76 -100.0 -100.0 -100.0 -83.0 -43 -100.0 -81 -100.0 -76.0 -100.0 -100.0 -100.0 -79.0 -80.0 -90.0 -71.0 -100.0 -73 -88.0 -75.0
-83.0 -67 -79 -85.0 -90.0 -100.0 -82.0 -51 -88.0 -73 -100.0 -80.0 -87.0 -88.0 -100.0 -84.0 -79.0 -79.0 -75.0 -89.0 -83 -100.0 -85.0
-81.0 -62 -78 -100.0 -100.0 -100.0 -75.0 -51 -87.0 -69 -87.0 -100.0 -87.0 -100.0 -100.0 -89.0 -84.0 -80.0 -75.0 -100.0 -76 -100.0 -79.0
-79.0 -65 -78 -90.0 -88.0 -100.0 -85.0 -45 -87.0 -82 -100.0 -100.0 -100.0 -88.0 -100.0 -85.0 -85.0 -90.0 -75.0 -100.0 -73 -100.0 -78.0
-79.0 -69 -80 -89.0 -79.0 -100.0 -81.0 -45 -85.0 -87 -88.0 -100.0 -100.0 -100.0 -90.0 -89.0 -77.0 -84.0 -78.0 -85.0 -76 -93.0 -70.0
-80.0 -61 -79 -89.0 -100.0 -100.0 -81.0 -37 -85.0 -70 -100.0 -85.0 -100.0 -88.0 -90.0 -89.0 -88.0 -84.0 -78.0 -85.0 -85 -93.0 -81.0
-78.0 -61 -78 -100.0 -90.0 -100.0 -86.0 -47 -100.0 -82 -100.0 -82.0 -85.0 -91.0 -92.0 -88.0 -83.0 -85.0 -78.0 -89.0 -76 -86.0 -76.0
-83.0 -67 -86 -85.0 -90.0 -100.0 -78.0 -36 -100.0 -79 -100.0 -80.0 -87.0 -91.0 -92.0 -87.0 -83.0 -79.0 -76.0 -89.0 -81 -86.0 -85.0
-71.0 -57 -86 -85.0 -90.0 -100.0 -80.0 -37 -100.0 -83 -100.0 -80.0 -87.0 -91.0 -92.0 -100.0 -83.0 -79.0 -78.0 -89.0 -76 -86.0 -85.0
