W001 W002 W003 W004 W005 W006 W007 W008 W009 W010 W011 W012 W013 W014 W015 W016 W017 W018 W019 W020 W021 W022 W023
-69 -73 -86.0 -100.0 -100.0 -100.0 -88.0 -27 -100.0 -84.0 -100.0 -100.0 -100.0 -86.0 -88.0 -82.0 -77.0 -89.0 -85.0 -89.0 -78.0 -100.0 -64.0
-74 -65 -82.0 -100.0 -88.0 -100.0 -83.0 -32 -100.0 -80.0 -86.0 -100.0 -100.0 -100.0 -100.0 -85.0 -78.0 -88.0 -88.0 -100.0 -73.0 -90.0 -81.0
-73 -72 -85.0 -100.0 -100.0 -100.0 -88.0 -40 -100.0 -88.0 -100.0 -84.0 -100.0 -88.0 -100.0 -86.0 -80.0 -88.0 -82.0 -100.0 -75.0 -85.0 -80.0
-70 -71 -85.0 -100.0 -100.0 -100.0 -88.0 -32 -100.0 -80.0 -100.0 -84.0 -100.0 -88.0 -100.0 -83.0 -79.0 -88.0 -91.0 -100.0 -76.0 -85.0 -86.0
-69 -66 -83.0 -100.0 -100.0 -100.0 -87.0 -27 -100.0 -82.0 -100.0 -100.0 -89.0 -87.0 -100.0 -84.0 -89.0 -85.0 -84.0 -88.0 -76.0 -100.0 -77.0
-71 -74 -79.0 -100.0 -100.0 -100.0 -85.0 -24 -100.0 -85.0 -88.0 -100.0 -88.0 -100.0 -100.0 -88.0 -84.0 -85.0 -82.0 -86.0 -76.0 -84.0 -84.0
-80 -71 -79.0 -93.0 -91.0 -100.0 -87.0 -25 -100.0 -84.0 -88.0 -100.0 -100.0 -87.0 -100.0 -88.0 -77.0 -85.0 -82.0 -86.0 -76.0 -84.0 -73.0
-73 -71 -80.0 -100.0 -100.0 -100.0 -100.0 -25 -100.0 -83.0 -90.0 -100.0 -90.0 -100.0 -100.0 -83.0 -79.0 -79.0 -100.0 -100.0 -78.0 -85.0 -86.0
-76 -80 -83.0 -100.0 -100.0 -100.0 -87.0 -25 -100.0 -88.0 -86.0 -100.0 -85.0 -78.0 -89.0 -82.0 -80.0 -80.0 -85.0 -82.0 -87.0 -100.0 -74.0
-80 -71 -79.0 -93.0 -91.0 -100.0 -87.0 -25 -100.0 -84.0 -88.0 -100.0 -100.0 -87.0 -100.0 -88.0 -77.0 -85.0 -82.0 -86.0 -76.0 -84.0 -73.0
-70 -79 -80.0 -100.0 -100.0 -100.0 -86.0 -29 -100.0 -88.0 -100.0 -100.0 -100.0 -100.0 -90.0 -86.0 -82.0 -91.0 -81.0 -100.0 -80.0 -91.0 -64.0
-80 -73 -80.0 -100.0 -100.0 -100.0 -79.0 -35 -100.0 -76.0 -85.0 -100.0 -88.0 -87.0 -100.0 -78.0 -75.0 -80.0 -84.0 -82.0 -69.0 -88.0 -77.0
-69 -71 -83.0 -100.0 -100.0 -100.0 -79.0 -23 -100.0 -79.0 -100.0 -100.0 -100.0 -84.0 -100.0 -80.0 -74.0 -86.0 -79.0 -100.0 -74.0 -100.0 -78.0
-66 -66 -80.0 -100.0 -100.0 -100.0 -83.0 -29 -100.0 -84.0 -88.0 -74.0 -83.0 -82.0 -89.0 -80.0 -83.0 -86.0 -80.0 -86.0 -87.0 -89.0 -80.0
-69 -69 -86.0 -100.0 -100.0 -100.0 -88.0 -31 -100.0 -85.0 -100.0 -100.0 -100.0 -86.0 -88.0 -82.0 -77.0 -89.0 -89.0 -89.0 -78.0 -100.0 -82.0
-72 -67 -80.0 -100.0 -100.0 -100.0 -83.0 -37 -100.0 -80.0 -88.0 -74.0 -83.0 -82.0 -89.0 -86.0 -82.0 -86.0 -80.0 -86.0 -78.0 -89.0 -84.0
-71 -74 -81.0 -100.0 -90.0 -100.0 -78.0 -31 -100.0 -74.0 -100.0 -80.0 -85.0 -78.0 -89.0 -85.0 -79.0 -89.0 -72.0 -82.0 -69.0 -88.0 -79.0
-73 -74 -79.0 -100.0 -90.0 -100.0 -81.0 -37 -100.0 -85.0 -100.0 -80.0 -89.0 -89.0 -90.0 -82.0 -74.0 -91.0 -85.0 -88.0 -81.0 -88.0 -79.0
-79 -74 -81.0 -100.0 -90.0 -100.0 -87.0 -33 -100.0 -88.0 -86.0 -80.0 -85.0 -78.0 -89.0 -82.0 -80.0 -89.0 -72.0 -82.0 -71.0 -88.0 -74.0
-76 -80 -83.0 -100.0 -100.0 -100.0 -87.0 -25 -100.0 -88.0 -86.0 -100.0 -85.0 -78.0 -89.0 -82.0 -80.0 -80.0 -85.0 -82.0 -87.0 -100.0 -74.0
