W001 W002 W003 W004 W005 W006 W007 W008 W009 W010 W011 W012 W013 W014 W015 W016 W017 W018 W019 W020 W021 W022 W023
-76 -73 -84.0 -89.0 -100.0 -100.0 -80.0 -37 -100.0 -75.0 -100.0 -81.0 -100.0 -100.0 -100.0 -79.0 -78.0 -84.0 -81.0 -88.0 -76.0 -100.0 -75.0
-71 -76 -80.0 -100.0 -88.0 -100.0 -85.0 -28 -100.0 -76.0 -100.0 -83.0 -100.0 -85.0 -87.0 -81.0 -78.0 -88.0 -79.0 -83.0 -81.0 -84.0 -80.0
-74 -73 -84.0 -100.0 -100.0 -100.0 -85.0 -33 -100.0 -84.0 -86.0 -81.0 -100.0 -80.0 -100.0 -87.0 -85.0 -84.0 -83.0 -87.0 -85.0 -90.0 -73.0
-76 -80 -83.0 -100.0 -100.0 -100.0 -87.0 -25 -100.0 -88.0 -86.0 -100.0 -85.0 -78.0 -89.0 -82.0 -80.0 -80.0 -85.0 -82.0 -87.0 -100.0 -74.0
-74 -73 -82.0 -89.0 -91.0 -100.0 -78.0 -33 -91.0 -77.0 -90.0 -80.0 -100.0 -100.0 -91.0 -80.0 -79.0 -80.0 -85.0 -100.0 -67.0 -87.0 -64.0
-73 -72 -85.0 -100.0 -100.0 -100.0 -88.0 -40 -100.0 -88.0 -100.0 -84.0 -100.0 -88.0 -100.0 -86.0 -80.0 -88.0 -82.0 -100.0 -75.0 -85.0 -80.0
-74 -70 -84.0 -89.0 -100.0 -100.0 -88.0 -20 -100.0 -84.0 -100.0 -81.0 -100.0 -100.0 -100.0 -82.0 -74.0 -84.0 -81.0 -88.0 -74.0 -100.0 -83.0
-77 -73 -86.0 -100.0 -100.0 -100.0 -88.0 -35 -100.0 -87.0 -100.0 -100.0 -100.0 -86.0 -88.0 -89.0 -78.0 -89.0 -89.0 -89.0 -86.0 -100.0 -82.0
-74 -71 -80.0 -90.0 -90.0 -100.0 -91.0 -38 -93.0 -87.0 -100.0 -83.0 -88.0 -87.0 -87.0 -84.0 -74.0 -84.0 -82.0 -87.0 -77.0 -89.0 -71.0
-71 -69 -83.0 -100.0 -100.0 -100.0 -87.0 -32 -100.0 -81.0 -100.0 -100.0 -89.0 -87.0 -100.0 -84.0 -81.0 -85.0 -84.0 -88.0 -79.0 -100.0 -77.0
-73 -68 -88.0 -89.0 -100.0 -100.0 -90.0 -37 -100.0 -87.0 -100.0 -83.0 -100.0 -81.0 -100.0 -82.0 -84.0 -86.0 -77.0 -88.0 -75.0 -100.0 -81.0
-69 -77 -79.0 -89.0 -91.0 -100.0 -78.0 -45 -91.0 -79.0 -90.0 -80.0 -100.0 -100.0 -91.0 -80.0 -79.0 -92.0 -85.0 -100.0 -66.0 -87.0 -69.0
-78 -73 -81.0 -100.0 -100.0 -100.0 -78.0 -21 -100.0 -88.0 -88.0 -100.0 -100.0 -78.0 -90.0 -78.0 -74.0 -82.0 -79.0 -100.0 -72.0 -91.0 -80.0
-69 -75 -83.0 -100.0 -100.0 -100.0 -81.0 -31 -100.0 -80.0 -100.0 -100.0 -100.0 -84.0 -100.0 -84.0 -77.0 -86.0 -79.0 -100.0 -80.0 -100.0 -74.0
-74 -79 -79.0 -93.0 -91.0 -100.0 -83.0 -26 -100.0 -78.0 -89.0 -100.0 -100.0 -87.0 -100.0 -89.0 -79.0 -85.0 -81.0 -86.0 -71.0 -84.0 -75.0
-73 -76 -81.0 -100.0 -100.0 -100.0 -82.0 -35 -100.0 -80.0 -89.0 -84.0 -100.0 -89.0 -100.0 -93.0 -82.0 -93.0 -81.0 -79.0 -71.0 -100.0 -83.0
-69 -69 -86.0 -100.0 -100.0 -100.0 -88.0 -31 -100.0 -85.0 -100.0 -100.0 -100.0 -86.0 -88.0 -82.0 -77.0 -89.0 -89.0 -89.0 -78.0 -100.0 -82.0
-76 -77 -83.0 -100.0 -100.0 -100.0 -85.0 -41 -100.0 -74.0 -100.0 -100.0 -100.0 -100.0 -100.0 -80.0 -82.0 -89.0 -78.0 -100.0 -81.0 -100.0 -78.0
-73 -75 -76.0 -90.0 -90.0 -100.0 -82.0 -31 -93.0 -85.0 -100.0 -87.0 -86.0 -83.0 -93.0 -84.0 -73.0 -79.0 -75.0 -87.0 -69.0 -89.0 -69.0
-74 -72 -80.0 -100.0 -88.0 -100.0 -82.0 -29 -100.0 -74.0 -100.0 -83.0 -88.0 -85.0 -87.0 -78.0 -84.0 -88.0 -79.0 -87.0 -70.0 -84.0 -71.0
