W001 W002 W003 W004 W005 W006 W007 W008 W009 W010 W011 W012 W013 W014 W015 W016 W017 W018 W019 W020 W021 W022 W023
-90.0 -37 -73 -89.0 -81.0 -100.0 -90.0 -57 -83 -88.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -90.0 -100.0 -100.0 -100.0 -100.0 -100.0
-78.0 -48 -80 -100.0 -84.0 -100.0 -89.0 -57 -76 -87.0 -100.0 -85.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -84.0 -100.0 -86.0
-84.0 -51 -85 -100.0 -86.0 -100.0 -89.0 -47 -78 -82.0 -100.0 -81.0 -100.0 -100.0 -100.0 -100.0 -90.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0
-100.0 -56 -80 -100.0 -87.0 -100.0 -100.0 -52 -81 -80.0 -100.0 -77.0 -100.0 -100.0 -100.0 -100.0 -100.0 -90.0 -100.0 -100.0 -87.0 -100.0 -88.0
-88.0 -50 -78 -91.0 -87.0 -100.0 -90.0 -45 -75 -86.0 -100.0 -72.0 -100.0 -100.0 -100.0 -91.0 -100.0 -93.0 -89.0 -100.0 -89.0 -100.0 -88.0
-85.0 -54 -76 -100.0 -83.0 -100.0 -100.0 -58 -79 -88.0 -100.0 -81.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -91.0 -88.0 -100.0
-79.0 -48 -79 -100.0 -82.0 -100.0 -100.0 -51 -80 -88.0 -100.0 -74.0 -100.0 -100.0 -100.0 -100.0 -89.0 -92.0 -100.0 -100.0 -100.0 -100.0 -90.0
-79.0 -43 -73 -100.0 -90.0 -100.0 -88.0 -64 -78 -89.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -89.0 -89.0 -87.0
-80.0 -49 -84 -100.0 -82.0 -100.0 -91.0 -46 -78 -85.0 -100.0 -84.0 -100.0 -100.0 -100.0 -91.0 -91.0 -90.0 -100.0 -100.0 -85.0 -100.0 -85.0
-88.0 -51 -80 -100.0 -85.0 -100.0 -100.0 -45 -78 -89.0 -100.0 -80.0 -100.0 -100.0 -100.0 -100.0 -100.0 -88.0 -100.0 -100.0 -90.0 -90.0 -90.0
-78.0 -45 -83 -100.0 -90.0 -100.0 -90.0 -51 -83 -85.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -89.0 -100.0 -100.0 -89.0 -100.0 -84.0
-80.0 -49 -84 -100.0 -82.0 -100.0 -91.0 -46 -78 -85.0 -100.0 -84.0 -100.0 -100.0 -100.0 -91.0 -91.0 -90.0 -100.0 -100.0 -85.0 -100.0 -85.0
-100.0 -41 -77 -100.0 -87.0 -100.0 -100.0 -64 -73 -90.0 -100.0 -77.0 -100.0 -100.0 -100.0 -91.0 -100.0 -100.0 -100.0 -100.0 -89.0 -100.0 -88.0
-78.0 -52 -78 -100.0 -86.0 -100.0 -89.0 -54 -82 -89.0 -100.0 -85.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -85.0 -100.0 -100.0
-80.0 -52 -75 -100.0 -85.0 -100.0 -88.0 -56 -91 -84.0 -100.0 -86.0 -100.0 -100.0 -100.0 -100.0 -100.0 -89.0 -100.0 -100.0 -90.0 -90.0 -90.0
-83.0 -49 -77 -100.0 -88.0 -100.0 -100.0 -59 -79 -90.0 -100.0 -72.0 -100.0 -100.0 -93.0 -100.0 -100.0 -89.0 -100.0 -100.0 -90.0 -100.0 -88.0
-73.0 -41 -69 -100.0 -77.0 -100.0 -100.0 -55 -72 -90.0 -100.0 -100.0 -100.0 -100.0 -100.0 -91.0 -100.0 -100.0 -100.0 -100.0 -89.0 -89.0 -87.0
-88.0 -47 -78 -100.0 -89.0 -100.0 -91.0 -46 -91 -86.0 -100.0 -85.0 -100.0 -100.0 -100.0 -100.0 -89.0 -88.0 -100.0 -100.0 -85.0 -100.0 -88.0
-83.0 -49 -77 -100.0 -88.0 -100.0 -100.0 -59 -79 -90.0 -100.0 -72.0 -100.0 -100.0 -93.0 -100.0 -100.0 -89.0 -100.0 -100.0 -90.0 -100.0 -88.0
-81.0 -49 -79 -100.0 -100.0 -100.0 -89.0 -57 -82 -87.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -91.0 -100.0 -86.0
-85.0 -48 -75 -100.0 -100.0 -100.0 -100.0 -58 -80 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0
