W001 W002 W003 W004 W005 W006 W007 W008 W009 W010 W011 W012 W013 W014 W015 W016 W017 W018 W019 W020 W021 W022 W023
-70.0 -65 -90.0 -100.0 -89.0 -85.0 -100.0 -56 -90.0 -88.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -92.0 -88.0 -100.0 -82.0 -100.0 -100.0
-64.0 -67 -89.0 -100.0 -90.0 -87.0 -100.0 -43 -100.0 -86.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -89.0 -100.0 -100.0 -100.0 -81.0 -100.0 -88.0
-69.0 -70 -90.0 -100.0 -100.0 -85.0 -100.0 -39 -90.0 -89.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -89.0 -92.0 -88.0 -100.0 -82.0 -100.0 -89.0
-66.0 -67 -80.0 -100.0 -100.0 -90.0 -100.0 -38 -100.0 -90.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -89.0 -100.0 -100.0 -100.0 -100.0
-69.0 -65 -83.0 -100.0 -91.0 -90.0 -90.0 -33 -100.0 -88.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -90.0 -89.0 -88.0
-71.0 -59 -87.0 -100.0 -100.0 -100.0 -89.0 -36 -90.0 -88.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -91.0 -87.0 -100.0 -89.0 -100.0 -100.0
-69.0 -65 -83.0 -100.0 -91.0 -90.0 -90.0 -33 -100.0 -88.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -90.0 -89.0 -88.0
-63.0 -71 -85.0 -100.0 -100.0 -86.0 -100.0 -45 -84.0 -90.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -89.0 -100.0 -84.0 -100.0 -100.0
-62.0 -72 -79.0 -100.0 -100.0 -90.0 -100.0 -38 -90.0 -88.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -89.0 -92.0 -88.0 -100.0 -82.0 -100.0 -89.0
-80.0 -61 -84.0 -100.0 -90.0 -88.0 -100.0 -39 -100.0 -87.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -89.0 -100.0 -88.0 -100.0 -89.0 -100.0 -100.0
-69.0 -61 -90.0 -100.0 -100.0 -100.0 -100.0 -42 -90.0 -88.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -88.0 -100.0 -82.0 -100.0 -83.0
-69.0 -70 -90.0 -100.0 -100.0 -85.0 -100.0 -39 -90.0 -89.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -89.0 -92.0 -88.0 -100.0 -82.0 -100.0 -89.0
-72.0 -69 -80.0 -100.0 -100.0 -100.0 -100.0 -54 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -89.0 -100.0 -100.0 -100.0 -100.0
-70.0 -65 -86.0 -100.0 -100.0 -90.0 -91.0 -49 -91.0 -90.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -89.0 -92.0 -86.0 -100.0 -90.0 -100.0 -89.0
-70.0 -65 -86.0 -100.0 -100.0 -90.0 -91.0 -49 -91.0 -90.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -89.0 -92.0 -86.0 -100.0 -90.0 -100.0 -89.0
-64.0 -70 -89.0 -100.0 -100.0 -91.0 -100.0 -55 -89.0 -89.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -89.0 -89.0 -100.0 -100.0 -89.0 -100.0 -89.0
-65.0 -57 -84.0 -100.0 -90.0 -87.0 -100.0 -44 -90.0 -86.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -89.0 -100.0 -100.0 -100.0 -89.0 -100.0 -88.0
-64.0 -63 -85.0 -100.0 -92.0 -87.0 -100.0 -51 -100.0 -87.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -89.0 -100.0 -88.0 -100.0 -89.0 -100.0 -91.0
-64.0 -63 -89.0 -100.0 -100.0 -91.0 -100.0 -43 -90.0 -89.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -91.0 -100.0 -100.0 -89.0 -100.0 -100.0
-63.0 -61 -86.0 -100.0 -91.0 -90.0 -90.0 -33 -90.0 -88.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -88.0 -100.0 -85.0 -100.0 -91.0
-69.0 -58 -85.0 -100.0 -100.0 -90.0 -100.0 -43 -84.0 -88.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -89.0 -100.0 -84.0 -100.0 -88.0
