~xARACELLI1x~ 90:48:9a:b0:cd:4b -56	~xWLAN_0310x~ f0:f2:49:30:03:18 -66	~xLucasx~ d4:7b:b0:85:1d:c4 -75	~xTP-LINK_5B8282x~ e8:94:f6:5b:82:82 -80	~xWLAN_4673x~ d0:84:b0:fc:46:79 -81	~xAASC1x~ e8:d1:1b:b7:f1:a9 -90	~xARRIS-5EB2x~ 98:6b:3d:bf:5e:b0 -86	
~xARACELLI1x~ 90:48:9a:b0:cd:4b -56	~xWLAN_0310x~ f0:f2:49:30:03:18 -66	~xLucasx~ d4:7b:b0:85:1d:c4 -75	~xTP-LINK_5B8282x~ e8:94:f6:5b:82:82 -80	~xWLAN_4673x~ d0:84:b0:fc:46:79 -81	~xAASC1x~ e8:d1:1b:b7:f1:a9 -90	~xARRIS-5EB2x~ 98:6b:3d:bf:5e:b0 -86	
~xARACELLI1x~ 90:48:9a:b0:cd:4b -66	~xWLAN_0310x~ f0:f2:49:30:03:18 -70	~xLucasx~ d4:7b:b0:85:1d:c4 -75	~xTP-LINK_5B8282x~ e8:94:f6:5b:82:82 -79	~xWLAN_4673x~ d0:84:b0:fc:46:79 -78	~xAASC1x~ e8:d1:1b:b7:f1:a9 -90	~xARRIS-5EB2x~ 98:6b:3d:bf:5e:b0 -80	~xAngelitax~ 08:6a:0a:fd:19:6e -89	
~xARACELLI1x~ 90:48:9a:b0:cd:4b -66	~xWLAN_0310x~ f0:f2:49:30:03:18 -70	~xLucasx~ d4:7b:b0:85:1d:c4 -75	~xTP-LINK_5B8282x~ e8:94:f6:5b:82:82 -79	~xWLAN_4673x~ d0:84:b0:fc:46:79 -78	~xAASC1x~ e8:d1:1b:b7:f1:a9 -90	~xARRIS-5EB2x~ 98:6b:3d:bf:5e:b0 -80	~xAngelitax~ 08:6a:0a:fd:19:6e -89	
~xARACELLI1x~ 90:48:9a:b0:cd:4b -66	~xWLAN_0310x~ f0:f2:49:30:03:18 -70	~xLucasx~ d4:7b:b0:85:1d:c4 -75	~xTP-LINK_5B8282x~ e8:94:f6:5b:82:82 -79	~xWLAN_4673x~ d0:84:b0:fc:46:79 -78	~xAASC1x~ e8:d1:1b:b7:f1:a9 -90	~xARRIS-5EB2x~ 98:6b:3d:bf:5e:b0 -80	~xAngelitax~ 08:6a:0a:fd:19:6e -89	
~xARACELLI1x~ 90:48:9a:b0:cd:4b -59	~xWLAN_0310x~ f0:f2:49:30:03:18 -79	~xLucasx~ d4:7b:b0:85:1d:c4 -71	~xTP-LINK_5B8282x~ e8:94:f6:5b:82:82 -79	~xWLAN_4673x~ d0:84:b0:fc:46:79 -73	~xAASC1x~ e8:d1:1b:b7:f1:a9 -90	~xARRIS-5EB2x~ 98:6b:3d:bf:5e:b0 -80	~xAngelitax~ 08:6a:0a:fd:19:6e -89	
~xARACELLI1x~ 90:48:9a:b0:cd:4b -59	~xWLAN_0310x~ f0:f2:49:30:03:18 -79	~xLucasx~ d4:7b:b0:85:1d:c4 -71	~xTP-LINK_5B8282x~ e8:94:f6:5b:82:82 -79	~xWLAN_4673x~ d0:84:b0:fc:46:79 -73	~xAASC1x~ e8:d1:1b:b7:f1:a9 -90	~xARRIS-5EB2x~ 98:6b:3d:bf:5e:b0 -80	~xAngelitax~ 08:6a:0a:fd:19:6e -89	
~xARACELLI1x~ 90:48:9a:b0:cd:4b -59	~xWLAN_0310x~ f0:f2:49:30:03:18 -79	~xLucasx~ d4:7b:b0:85:1d:c4 -71	~xTP-LINK_5B8282x~ e8:94:f6:5b:82:82 -79	~xWLAN_4673x~ d0:84:b0:fc:46:79 -73	~xAASC1x~ e8:d1:1b:b7:f1:a9 -90	~xARRIS-5EB2x~ 98:6b:3d:bf:5e:b0 -80	~xAngelitax~ 08:6a:0a:fd:19:6e -89	
~xARACELLI1x~ 90:48:9a:b0:cd:4b -67	~xWLAN_0310x~ f0:f2:49:30:03:18 -84	~xLucasx~ d4:7b:b0:85:1d:c4 -85	~xTP-LINK_5B8282x~ e8:94:f6:5b:82:82 -85	~xWLAN_4673x~ d0:84:b0:fc:46:79 -71	~xAASC1x~ e8:d1:1b:b7:f1:a9 -90	~xARRIS-5EB2x~ 98:6b:3d:bf:5e:b0 -74	~xAngelitax~ 08:6a:0a:fd:19:6e -89	
~xARACELLI1x~ 90:48:9a:b0:cd:4b -65	~xWLAN_0310x~ f0:f2:49:30:03:18 -86	~xLucasx~ d4:7b:b0:85:1d:c4 -83	~xTP-LINK_5B8282x~ e8:94:f6:5b:82:82 -85	~xWLAN_4673x~ d0:84:b0:fc:46:79 -75	~xAASC1x~ e8:d1:1b:b7:f1:a9 -90	~xARRIS-5EB2x~ 98:6b:3d:bf:5e:b0 -74	~xAngelitax~ 08:6a:0a:fd:19:6e -89	
